timestamp,material_name,category,shipping,sustainability
2026-02-15T11:01:11.115011,kraft paper,Electronics,Domestic,High
2026-02-15T11:04:27.107581,kraft paper,Electronics,International,High
2026-02-15T11:07:17.537925,plastic,Food,Domestic,High
2026-02-15T11:26:00.902861,kraft paper,General,Domestic,Medium
2026-02-15T11:27:01.701971,kraft paper,Food,Domestic,Medium
2026-02-15T11:27:01.750781,kraft paper,Food,Domestic,Medium
2026-02-15T11:27:14.128439,plastic,Food,Domestic,Medium
2026-02-15T11:27:30.232050,kraft paper,Food,Domestic,High
2026-02-15T11:27:56.845210,kraft paper,Food,Domestic,Medium
2026-02-15T11:34:08.070477,plastic,Food,Domestic,Medium
2026-02-15T11:35:22.133102,kraft paper,Food,Domestic,Medium
2026-02-15T12:32:15.968366,cloth packaging,Food,Domestic,Medium
2026-02-15T12:35:40.982576,cloth packaging,Food,Domestic,Medium
2026-02-15T12:42:52.124114,polyethylene,Cosmetics,International,High
2026-02-15T12:43:04.546293,polyethylene,Electronics,International,High
2026-02-15T12:43:08.506341,polyethylene,Electronics,International,High
2026-02-15T12:43:13.376599,polyethylene,Food,International,High
2026-02-15T12:43:21.461767,polyethylene,Food,Domestic,Medium
2026-02-15T12:43:32.583363,cloth packaging,Food,Domestic,High
2026-02-15T12:44:51.091396,molded pulp,Food,Domestic,High
